Parish,population,white,black,land_area,white_vap,black_vap
Acadia,55882,45532,10179,655,31690,6209
Allen,21226,16308,4496,765,11774,3021
Ascension,58214,44480,13268,292,31136,8093
Assumption,22753,15273,7349,339,10859,4608
Avoyelles,39159,28324,10585,883,20790,6700
Beauregard,30083,25242,4489,1160,17998,3048
Bienville,15979,8986,6949,811,6740,4684
Bossier,86088,67030,17381,839,48932,10776
Caddo,248253,146580,99511,862,112867,62990
Calcasieu,168134,128181,38445,1071,93188,24797
Caldwell,9810,7970,1760,530,5770,1163
Cameron,9260,8685,503,1313,6036,331
Catahoula,11065,8136,2874,704,5850,1799
Claiborne,17405,9313,8041,755,7199,5725
Concordia,20828,13164,7596,696,9583,4816
De Soto,25346,14003,11141,877,10348,7308
East Baton Rouge,380105,240614,132328,456,183588,86807
East Carroll,9709,3355,6291,422,2530,3636
East Feliciana,19211,10022,9083,453,7306,6077
Evangeline,33274,24405,8701,664,17401,5290
Franklin,22387,15278,7040,623,11245,4224
Grant,17526,14860,2540,645,10580,1651
Iberia,68297,46940,20154,575,33280,12395
Iberville,31049,16519,14385,619,12241,9451
Jackson,15705,11065,4589,570,8144,3056
Jefferson,448306,351170,79042,306,266889,48769
Jefferson Davis,30722,24721,5836,652,17428,3630
Lafayette,164762,125340,36846,270,91373,23581
Lafourche,85860,72371,10703,1085,52179,6368
La Salle,13662,12271,1257,624,9031,806
Lincoln,41745,24620,16590,471,19179,12525
Livingston,70526,66269,3920,648,45659,2458
Madison,12463,4961,7415,624,3711,4367
Morehouse,31938,18584,13263,794,13882,8170
Natchitoches,36689,22357,13779,1256,16768,8571
Orleans,496938,173554,307728,181,147000,203100
Ouachita,142191,96870,44096,611,72749,26722
Plaquemines,25575,18522,5944,845,13114,3774
Pointe Coupee,22540,13196,9275,557,9659,6010
Rapides,131556,92989,36805,1323,68626,23518
Red River,9387,5752,3589,389,4251,2171
Richland,20629,13020,7539,559,9674,4569
Sabine,22646,17939,3984,865,13347,2359
St. Bernard,66631,62199,3111,465,45530,2031
St. Charles,42437,31638,10253,284,22242,6449
St. Helena,9874,4725,5127,408,3445,3302
St. James,20879,10484,10357,246,7580,6639
St. John the Baptist,39996,25039,14419,219,17152,8868
St. Landry,80331,47532,32392,929,34080,20439
St. Martin,43978,28806,14532,740,20308,9053
St. Mary,58086,37688,18337,613,27098,11167
St. Tammany,144508,126806,15917,854,89271,10012
Tangipahoa,85709,60601,24527,790,44602,14765
Tensas,7103,3292,3785,603,2453,2332
Terrebonne,96982,75082,16032,1255,52557,9763
Union,20690,14850,5767,878,11093,3737
Vermilion,50055,42237,6956,1174,29988,4243
Vernon,61961,45828,12867,1329,32996,8557
Washington,43185,29669,13376,670,21985,8681
Webster,41989,28550,13277,596,21527,8842
West Baton Rouge,19419,12329,6993,191,8926,4650
West Carroll,12093,9997,2020,359,7268,1248
West Feliciana,12915,5672,7149,406,4345,5941
Winn,16269,11343,4798,951,8473,3181
