questions_id,questions,num_respondents,options,Clinton_perc,Trump_perc,Johnson_perc,Stein_perc,options_perc,state,url
1,Are you:,24503,Male,41,52,4,1,47,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
1,Are you:,24503,Female,54,41,3,1,53,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
2,In which age group are you?,24386,18-29,55,36,6,2,19,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
2,In which age group are you?,24386,30-44,51,41,5,2,25,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
2,In which age group are you?,24386,45-64,44,52,2,1,40,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
2,In which age group are you?,24386,65 or over,45,52,2,0,16,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
3,In which age group are you?,24386,18-24,56,34,6,2,10,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
3,In which age group are you?,24386,25-29,54,38,5,2,9,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
3,In which age group are you?,24386,30-39,51,39,5,2,17,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
3,In which age group are you?,24386,40-49,46,49,3,1,19,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
3,In which age group are you?,24386,50-64,44,52,2,1,30,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
3,In which age group are you?,24386,65 or over,45,52,2,0,16,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
4,To which age group do you belong?,24386,18-44,53,39,5,2,44,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
4,To which age group do you belong?,24386,45+,44,52,2,1,56,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
5,Are you:,24214,White,37,57,4,1,71,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
5,Are you:,24214,Black,89,8,2,1,12,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
5,Are you:,24214,Hispanic/Latino,66,28,3,2,11,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
5,Are you:,24214,Asian,65,27,4,2,4,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
5,Are you:,24214,Other,56,36,3,2,3,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
6,Are you:,24214,White,37,57,4,1,71,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
6,Are you:,24214,Non-White,74,21,3,2,29,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
7,Sex by race,24177,White men,31,62,4,1,34,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
7,Sex by race,24177,White women,43,52,3,1,37,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
7,Sex by race,24177,Black men,82,13,3,2,5,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
7,Sex by race,24177,Black women,94,4,1,0,7,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
7,Sex by race,24177,Latino men,63,32,3,2,5,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
7,Sex by race,24177,Latino women,69,25,3,2,6,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
7,Sex by race,24177,All other races,61,31,4,2,6,nation,https://www.foxnews.com/politics/elections/2016/exit-polls?type=president&filter=US
