Office,Parish,"Clinton & Gore Democratic Party (DEM)","Bush & Quayle Republican Party (REP)","Gritz & Minett America First (OTH)","Daniels & Tupahache Equal Justice & Opportunity (OTH)","Yiamonyiannis & McCone Independent (OTH)","LaRouche & Bevel Justice, Industry, Agriculture (OTH)","Marrou & Lord Libertarian Party (LBT)","Phillips & Graves Louisiana Taxpayers Party (OTH)","Fulani & Munoz More Perfect Democracy (OTH)","Hagelin & Tompkins Natural Law (OTH)","Perot & Stockdale Prudence, Action, Results (OTH)"
"Presidential Electors","Acadia","12276","9017","41","12","14","8","13","12","18","12","3145"
"Presidential Electors","Allen","5626","3069","37","10","5","10","6","2","4","3","1245"
"Presidential Electors","Ascension","13036","10275","38","32","11","15","18","15","8","5","4295"
"Presidential Electors","Assumption","5639","2928","408","20","6","15","41","18","13","7","1358"
"Presidential Electors","Avoyelles","8696","4851","652","15","8","19","102","31","26","10","2139"
"Presidential Electors","Beauregard","5037","5119","216","4","4","8","26","15","13","6","2103"
"Presidential Electors","Bienville","3899","2412","221","8","3","8","24","13","9","3","832"
"Presidential Electors","Bossier","11313","15628","859","8","9","13","51","34","11","12","4863"
"Presidential Electors","Caddo","47733","42665","128","88","33","28","65","38","41","29","11830"
"Presidential Electors","Calcasieu","33570","24847","151","68","21","34","73","29","71","18","10980"
"Presidential Electors","Caldwell","2061","1752","164","6","2","6","12","5","13","10","653"
"Presidential Electors","Cameron","1985","1329","13","3","1","0","7","1","1","3","995"
"Presidential Electors","Catahoula","2570","1976","99","7","3","5","13","13","8","4","773"
"Presidential Electors","Claiborne","3263","2599","156","9","5","2","15","9","6","6","926"
"Presidential Electors","Concordia","4283","3223","242","10","6","6","33","18","6","4","1317"
"Presidential Electors","De Soto","5671","3643","239","11","8","6","50","16","11","8","1358"
"Presidential Electors","East Baton Rouge","68622","81072","183","158","44","64","206","77","114","49","16102"
"Presidential Electors","East Carroll","1835","1142","59","4","4","2","16","19","7","4","283"
"Presidential Electors","East Feliciana","4093","2813","14","6","1","3","8","20","4","1","932"
"Presidential Electors","Evangeline","8564","5147","336","25","13","19","81","41","16","10","2124"
"Presidential Electors","Franklin","4127","3889","226","6","2","12","32","30","11","7","1311"
"Presidential Electors","Grant","3122","3214","286","9","3","7","40","13","5","5","1174"
"Presidential Electors","Iberia","13040","11905","1011","24","12","18","77","53","29","24","4337"
"Presidential Electors","Iberville","8218","5211","326","15","6","21","160","37","22","35","1543"
"Presidential Electors","Jackson","3370","3072","169","3","7","5","28","16","7","7","882"
"Presidential Electors","Jefferson","64302","100493","253","154","59","91","176","78","78","76","21278"
"Presidential Electors","Jefferson Davis","7022","4513","34","7","4","9","10","5","6","7","2221"
"Presidential Electors","Lafayette","28583","32406","1217","48","9","40","140","49","69","77","9124"
"Presidential Electors","Lafourche","16182","12744","1372","23","15","30","124","29","29","20","5077"
"Presidential Electors","Lasalle","2389","3068","221","7","2","10","15","10","4","4","993"
"Presidential Electors","Lincoln","7205","7220","282","8","9","13","37","19","12","5","1751"
"Presidential Electors","Livingston","11499","14808","54","21","7","12","17","16","8","8","4971"
"Presidential Electors","Madison","2773","1702","105","5","2","8","19","8","11","4","469"
"Presidential Electors","Morehouse","6013","5364","255","7","9","13","32","26","8","9","1727"
"Presidential Electors","Natchitoches","6974","5694","369","10","10","11","55","29","16","5","1606"
"Presidential Electors","Orleans","133261","52019","211","189","65","88","222","83","234","88","10889"
"Presidential Electors","Ouachita","20835","27600","1117","31","15","40","104","85","36","27","6612"
"Presidential Electors","Plaquemines","4467","5018","16","5","2","5","5","1","6","3","1729"
"Presidential Electors","Pointe Coupee","6512","3563","34","13","9","9","7","4","11","3","1157"
"Presidential Electors","Rapides","20873","22783","1169","20","118","29","154","63","59","15","6599"
"Presidential Electors","Red River","2360","1649","67","3","2","3","16","6","5","3","566"
"Presidential Electors","Richland","3706","3808","247","6","5","14","31","17","12","3","1054"
"Presidential Electors","Sabine","4173","3586","283","8","2","21","25","18","9","4","1219"
"Presidential Electors","St. Bernard","12305","16131","55","14","15","23","21","23","23","20","4308"
"Presidential Electors","St. Charles","8810","9158","118","71","20","27","20","31","21","8","2593"
"Presidential Electors","St. Helena","3416","1515","36","16","5","8","7","11","11","4","589"
"Presidential Electors","St. James","6609","3339","73","52","14","33","14","17","27","15","993"
"Presidential Electors","St. John The Baptist","8977","6730","83","31","12","17","16","15","32","16","1922"
"Presidential Electors","St. Landry","20383","11882","67","51","18","25","26","56","20","21","4266"
"Presidential Electors","St. Martin","11252","5909","453","24","11","18","85","39","28","34","2573"
"Presidential Electors","St. Mary","10648","8792","501","29","18","36","81","34","30","14","3257"
"Presidential Electors","St. Tammany","19735","37839","96","44","23","24","84","16","28","27","9005"
"Presidential Electors","Tangipahoa","15194","14128","73","74","19","32","32","37","21","23","4612"
"Presidential Electors","Tensas","1666","1153","47","2","4","2","23","12","2","2","353"
"Presidential Electors","Terrebonne","13325","14662","951","25","12","22","97","30","19","16","5505"
"Presidential Electors","Union","4005","4434","348","4","6","7","29","14","8","5","1209"
"Presidential Electors","Vermilion","12324","7062","786","17","14","22","54","13","15","10","3127"
"Presidential Electors","Vernon","6005","5912","413","6","6","13","57","19","15","8","2313"
"Presidential Electors","Washington","9095","7227","43","33","5","15","8","10","9","5","2303"
"Presidential Electors","Webster","8380","6640","478","12","19","10","53","20","15","8","2629"
"Presidential Electors","West Baton Rouge","5131","3522","15","12","4","6","17","11","9","0","1249"
"Presidential Electors","West Carroll","2068","2082","145","8","2","7","20","8","3","6","771"
"Presidential Electors","West Feliciana","2328","1501","11","5","0","3","3","2","3","2","516"
"Presidential Electors","Winn","3537","2932","173","7","6","6","22","13","8","2","843"
