Office,Parish,"Clinton & Gore Democratic Party (DEM)","Dole & Kemp Republican Party (REP)","Browne & Jorgensen Libertarian Party (LBT)","Nader & LaDuke Liberty, Ecology, Community (OTH)","Hagelin & Tompkins Natural Law (OTH)","Perot & Campbell Reform Party (RFM)","Phillips & Titus Taxpayers Party (OTH)","Moorehead & LaRiva Workers World (OTH)"
"Presidential Electors","Acadia","12300","9246","40","31","12","2234","30","34"
"Presidential Electors","Allen","4930","2589","38","23","42","1187","16","19"
"Presidential Electors","Ascension","15263","10885","65","64","12","3027","50","34"
"Presidential Electors","Assumption","6416","2698","65","33","43","904","23","30"
"Presidential Electors","Avoyelles","9689","4433","89","53","129","1937","41","39"
"Presidential Electors","Beauregard","4925","5526","96","36","30","1834","38","14"
"Presidential Electors","Bienville","4335","2402","108","17","22","457","29","14"
"Presidential Electors","Bossier","15504","16852","141","85","66","2660","61","13"
"Presidential Electors","Caddo","55543","38445","180","202","34","4821","117","37"
"Presidential Electors","Calcasieu","38238","26494","213","250","36","8281","90","59"
"Presidential Electors","Caldwell","2117","1842","39","5","15","514","19","8"
"Presidential Electors","Cameron","2103","1365","30","11","18","594","18","9"
"Presidential Electors","Catahoula","2692","1770","39","15","18","615","9","8"
"Presidential Electors","Claiborne","3609","2500","41","17","19","530","18","5"
"Presidential Electors","Concordia","4565","3134","78","14","39","855","18","12"
"Presidential Electors","De Soto","6221","3526","55","14","28","646","21","9"
"Presidential Electors","East Baton Rouge","83493","77811","436","479","88","7990","236","114"
"Presidential Electors","East Carroll","2149","1008","24","11","19","186","9","5"
"Presidential Electors","East Feliciana","4714","2949","16","13","7","660","34","8"
"Presidential Electors","Evangeline","7847","5278","100","39","86","1447","33","24"
"Presidential Electors","Franklin","4076","3961","61","18","37","814","23","10"
"Presidential Electors","Grant","2980","3117","52","31","36","1055","9","12"
"Presidential Electors","Iberia","15087","12014","196","65","93","2448","36","26"
"Presidential Electors","Iberville","9553","4031","68","29","58","1076","38","26"
"Presidential Electors","Jackson","3368","3030","36","21","21","571","15","5"
"Presidential Electors","Jefferson","80407","92820","504","485","98","9667","367","118"
"Presidential Electors","Jefferson Davis","6897","4311","72","41","26","1543","38","15"
"Presidential Electors","Lafayette","32504","36419","348","218","186","4631","105","57"
"Presidential Electors","Lafourche","18810","12105","309","94","102","2984","144","48"
"Presidential Electors","Lasalle","2543","2925","28","21","29","947","6","7"
"Presidential Electors","Lincoln","7903","6973","117","31","34","761","27","9"
"Presidential Electors","Livingston","13276","16159","188","87","105","4150","87","43"
"Presidential Electors","Madison","3085","1591","26","11","22","315","7","8"
"Presidential Electors","Morehouse","6160","5193","71","13","63","963","21","9"
"Presidential Electors","Natchitoches","8296","5471","127","39","123","1053","45","16"
"Presidential Electors","Orleans","144720","39576","554","791","101","3805","220","144"
"Presidential Electors","Ouachita","24525","28559","466","87","146","3586","176","49"
"Presidential Electors","Plaquemines","5348","4493","29","19","7","856","30","15"
"Presidential Electors","Pointe Coupee","6835","3545","34","17","12","845","19","25"
"Presidential Electors","Rapides","23004","21548","351","99","113","4670","94","52"
"Presidential Electors","Red River","2641","1344","23","7","4","268","6","3"
"Presidential Electors","Richland","4143","3765","61","13","35","645","28","20"
"Presidential Electors","Sabine","4263","3543","59","22","34","1043","29","14"
"Presidential Electors","St. Bernard","14312","13549","134","98","21","2664","56","58"
"Presidential Electors","St. Charles","10612","9316","38","53","6","1307","39","22"
"Presidential Electors","St. Helena","3692","1455","18","2","6","417","12","6"
"Presidential Electors","St. James","7247","2832","15","15","3","608","9","14"
"Presidential Electors","St. John The Baptist","9937","6025","41","29","12","966","28","13"
"Presidential Electors","St. Landry","20636","12273","75","63","23","2311","43","29"
"Presidential Electors","St. Martin","12492","6296","112","52","87","1607","53","37"
"Presidential Electors","St. Mary","12402","8018","136","51","54","1850","32","26"
"Presidential Electors","St. Tammany","24281","44761","251","245","44","4741","152","51"
"Presidential Electors","Tangipahoa","18617","15517","100","83","19","3144","68","43"
"Presidential Electors","Tensas","1882","1000","12","10","11","176","2","6"
"Presidential Electors","Terrebonne","18550","13944","203","88","98","3359","72","47"
"Presidential Electors","Union","4260","4418","57","19","50","696","29","14"
"Presidential Electors","Vermilion","12609","7653","194","59","94","1954","81","17"
"Presidential Electors","Vernon","6195","5449","94","63","29","2068","56","12"
"Presidential Electors","Washington","9603","6642","61","32","5","1643","20","17"
"Presidential Electors","Webster","9688","6153","168","40","63","1324","63","18"
"Presidential Electors","West Baton Rouge","5697","3254","13","14","6","799","12","3"
"Presidential Electors","West Carroll","1853","2366","29","4","24","461","22","5"
"Presidential Electors","West Feliciana","2416","1616","28","13","22","388","19","4"
"Presidential Electors","Winn","3779","2803","47","15","56","735","18","10"
