Office,Parish,"Gore & Lieberman Democratic Party (DEM)","Buchanan & Foster Reform Party (RFM)","Bush & Cheney Republican Party (REP)","Phillips & Frazier Constitution Party (OTH)","Nader & LaDuke Green Party (GRN)","Browne & Olivier Libertarian Party (LBT)","Hagelin & Ticciati Natural Law Party (OTH)","Harris & Trowe Socialist Workers Party (OTH)"
"Presidential Electors","Acadia","8892","255","13814","15","227","15","9","11"
"Presidential Electors","Allen","3914","135","4035","44","115","30","10","9"
"Presidential Electors","Ascension","13385","201","16818","31","340","47","11","11"
"Presidential Electors","Assumption","5222","163","4388","93","119","26","20","22"
"Presidential Electors","Avoyelles","6701","268","7329","101","170","37","28","19"
"Presidential Electors","Beauregard","3958","122","7862","69","155","18","15","6"
"Presidential Electors","Bienville","3413","152","3269","95","50","11","3","13"
"Presidential Electors","Bossier","11933","184","23224","220","295","39","11","9"
"Presidential Electors","Caddo","47530","338","46807","59","734","113","32","26"
"Presidential Electors","Calcasieu","33919","529","38086","49","895","110","21","27"
"Presidential Electors","Caldwell","1359","66","2817","33","37","5","5","6"
"Presidential Electors","Cameron","1435","43","2593","59","46","3","0","4"
"Presidential Electors","Catahoula","1718","64","2912","28","28","7","4","4"
"Presidential Electors","Claiborne","2721","81","3384","48","35","5","4","3"
"Presidential Electors","Concordia","3569","138","4627","78","54","18","6","9"
"Presidential Electors","De Soto","5036","98","5260","101","67","12","17","5"
"Presidential Electors","East Baton Rouge","76516","687","89128","92","2105","323","56","82"
"Presidential Electors","East Carroll","1876","46","1280","10","16","9","3","5"
"Presidential Electors","East Feliciana","3870","79","4051","14","60","9","3","13"
"Presidential Electors","Evangeline","5763","234","7290","73","140","46","34","32"
"Presidential Electors","Franklin","2792","94","5363","27","51","8","11","10"
"Presidential Electors","Grant","2099","60","4784","31","57","17","4","3"
"Presidential Electors","Iberia","11762","352","17236","153","365","75","41","36"
"Presidential Electors","Iberville","8355","217","5573","70","175","60","19","34"
"Presidential Electors","Jackson","2582","79","4347","22","53","7","9","7"
"Presidential Electors","Jefferson","70411","988","105003","82","2293","267","54","53"
"Presidential Electors","Jefferson Davis","5162","167","6945","88","143","27","6","8"
"Presidential Electors","Lafayette","27190","618","48491","233","1510","161","58","32"
"Presidential Electors","Lafourche","14627","457","18575","231","424","70","21","44"
"Presidential Electors","Lasalle","1397","54","4564","25","57","5","2","4"
"Presidential Electors","Lincoln","6851","148","9246","132","124","25","15","10"
"Presidential Electors","Livingston","11008","331","24889","147","384","59","25","22"
"Presidential Electors","Madison","2489","61","2127","14","37","6","6","3"
"Presidential Electors","Morehouse","5289","166","6641","71","103","15","16","20"
"Presidential Electors","Natchitoches","6924","271","7332","166","109","32","11","12"
"Presidential Electors","Orleans","137630","638","39404","83","3025","295","62","84"
"Presidential Electors","Ouachita","21457","615","35107","315","529","101","46","41"
"Presidential Electors","Plaquemines","4425","75","6302","8","104","9","4","4"
"Presidential Electors","Pointe Coupee","5813","102","4710","46","108","26","16","11"
"Presidential Electors","Rapides","18898","461","28831","257","446","82","28","21"
"Presidential Electors","Red River","2177","68","2200","13","35","11","12","6"
"Presidential Electors","Richland","3282","138","4895","87","51","15","7","10"
"Presidential Electors","Sabine","2846","89","5754","66","81","13","8","5"
"Presidential Electors","St. Bernard","11682","211","16255","17","397","32","18","9"
"Presidential Electors","St. Charles","8918","181","11981","161","215","30","12","12"
"Presidential Electors","St. Helena","3059","79","1965","36","65","21","14","15"
"Presidential Electors","St. James","6523","180","3813","100","61","12","8","8"
"Presidential Electors","St. John The Baptist","9745","212","7423","112","164","25","15","17"
"Presidential Electors","St. Landry","18067","318","15449","32","225","23","15","22"
"Presidential Electors","St. Martin","9853","406","9961","138","268","55","51","46"
"Presidential Electors","St. Mary","9851","235","11325","98","214","43","24","20"
"Presidential Electors","St. Tammany","22722","434","59193","42","1199","106","23","18"
"Presidential Electors","Tangipahoa","15843","301","20421","60","405","65","22","38"
"Presidential Electors","Tensas","1580","46","1330","22","20","8","2","2"
"Presidential Electors","Terrebonne","14414","351","21314","196","310","43","19","28"
"Presidential Electors","Union","3205","151","5772","119","66","15","7","8"
"Presidential Electors","Vermilion","8704","392","12495","268","307","36","17","16"
"Presidential Electors","Vernon","4655","123","8794","63","151","22","9","10"
"Presidential Electors","Washington","7399","187","8983","135","126","29","20","8"
"Presidential Electors","Webster","7197","183","9420","116","120","40","5","9"
"Presidential Electors","West Baton Rouge","5058","63","4924","13","69","34","6","2"
"Presidential Electors","West Carroll","1319","68","3220","26","25","13","2","2"
"Presidential Electors","West Feliciana","2187","52","2512","13","62","19","8","7"
"Presidential Electors","Winn","2167","51","4028","37","52","11","5","10"
