date,state,candidate,vote_perc,won_state,is_nominee,event_type
1980-01-21,Iowa,Jimmy Carter,59.16,TRUE,TRUE,caucus
1980-02-10,Maine,Jimmy Carter,43.6,TRUE,TRUE,caucus
1980-02-26,New Hampshire,Jimmy Carter,47.08,TRUE,TRUE,primary
1980-03-04,Massachusetts,Jimmy Carter,28.7,FALSE,TRUE,primary
1980-03-04,Vermont *,Jimmy Carter,73.08,TRUE,TRUE,primary
1980-03-11,Alabama,Jimmy Carter,81.59,TRUE,TRUE,primary
1980-03-11,Florida,Jimmy Carter,60.69,TRUE,TRUE,primary
1980-03-11,Georgia,Jimmy Carter,88.04,TRUE,TRUE,primary
1980-03-16,Puerto Rico,Jimmy Carter,51.67,TRUE,TRUE,primary
1980-03-18,Illinois,Jimmy Carter,65.01,TRUE,TRUE,primary
1980-03-25,Connecticut,Jimmy Carter,41.47,FALSE,TRUE,primary
1980-03-25,New York,Jimmy Carter,0,TRUE,TRUE,primary
1980-04-01,Kansas,Jimmy Carter,56.63,TRUE,TRUE,primary
1980-04-01,Wisconsin,Jimmy Carter,56.17,TRUE,TRUE,primary
1980-04-05,Louisiana,Jimmy Carter,55.74,TRUE,TRUE,primary
1980-04-22,Pennsylvania,Jimmy Carter,45.4,FALSE,TRUE,primary
1980-04-22,Vermont,Jimmy Carter,32,FALSE,TRUE,caucus
1980-04-26,Michigan,Jimmy Carter,46.68,FALSE,TRUE,caucus
1980-05-03,Texas,Jimmy Carter,55.93,TRUE,TRUE,primary
1980-05-06,Washington D.C.,Jimmy Carter,36.94,FALSE,TRUE,primary
1980-05-06,Indiana,Jimmy Carter,67.68,TRUE,TRUE,primary
1980-05-06,North Carolina,Jimmy Carter,70.09,TRUE,TRUE,primary
1980-05-06,Tennessee,Jimmy Carter,75.22,TRUE,TRUE,primary
1980-05-13,Nebraska,Jimmy Carter,46.87,TRUE,TRUE,primary
1980-05-13,Maryland,Jimmy Carter,47.48,TRUE,TRUE,primary
1980-05-20,Oregon,Jimmy Carter,56.83,TRUE,TRUE,primary
1980-05-20,Michigan **,Jimmy Carter,0,FALSE,TRUE,caucus
1980-05-27,Arkansas,Jimmy Carter,60.09,TRUE,TRUE,primary
1980-05-27,Idaho,Jimmy Carter,62.17,TRUE,TRUE,primary
1980-05-27,Kentucky,Jimmy Carter,66.92,TRUE,TRUE,primary
1980-05-27,Nevada,Jimmy Carter,37.58,TRUE,TRUE,primary
1980-06-03,California,Jimmy Carter,37.64,FALSE,TRUE,primary
1980-06-03,Montana,Jimmy Carter,51.46,TRUE,TRUE,primary
1980-06-03,New Jersey,Jimmy Carter,37.87,FALSE,TRUE,primary
1980-06-03,New Mexico,Jimmy Carter,41.8,FALSE,TRUE,primary
1980-06-03,Ohio,Jimmy Carter,51.06,TRUE,TRUE,primary
1980-06-03,Rhode Island,Jimmy Carter,25.85,FALSE,TRUE,primary
1980-06-03,South Dakota,Jimmy Carter,45.45,FALSE,TRUE,primary
1980-06-03,West Virginia,Jimmy Carter,62.18,TRUE,TRUE,primary
1980-01-21,Iowa,Ted Kennedy,31.23,FALSE,FALSE,caucus
1980-02-10,Maine,Ted Kennedy,40.2,FALSE,FALSE,caucus
1980-02-26,New Hampshire,Ted Kennedy,37.3,FALSE,FALSE,primary
1980-03-04,Massachusetts,Ted Kennedy,65.07,TRUE,FALSE,primary
1980-03-04,Vermont *,Ted Kennedy,25.53,FALSE,FALSE,primary
1980-03-11,Alabama,Ted Kennedy,13.22,FALSE,FALSE,primary
1980-03-11,Florida,Ted Kennedy,23.2,FALSE,FALSE,primary
