state,candidate,date,vote_perc,delegates,won_state,is_nominee,event_type
Iowa,Bill Clinton,1992-02-10,2.81,49,FALSE,TRUE,caucus
New Hampshire,Bill Clinton,1992-02-18,24.78,18,FALSE,TRUE,primary
Maine,Bill Clinton,1992-02-23,15.13,23,FALSE,TRUE,caucus
South Dakota,Bill Clinton,1992-02-25,19.1,15,FALSE,TRUE,primary
Colorado,Bill Clinton,1992-03-03,26.9,47,FALSE,TRUE,primary
Georgia,Bill Clinton,1992-03-03,57.17,76,TRUE,TRUE,primary
Idaho,Bill Clinton,1992-03-03,11.56,18,FALSE,TRUE,caucus
Maryland,Bill Clinton,1992-03-03,35.76,67,FALSE,TRUE,primary
Minnesota,Bill Clinton,1992-03-03,NA,78,NA,TRUE,caucus
Utah,Bill Clinton,1992-03-03,18.24,23,FALSE,TRUE,caucus
Washington,Bill Clinton,1992-03-03,13.82,71,FALSE,TRUE,caucus
Arizona,Bill Clinton,1992-03-07,29.2,41,FALSE,TRUE,caucus
South Carolina,Bill Clinton,1992-03-07,62.9,43,TRUE,TRUE,primary
Wyoming,Bill Clinton,1992-03-07,28.57,13,TRUE,TRUE,caucus
Nevada,Bill Clinton,1992-03-08,26.47,17,FALSE,TRUE,caucus
Florida,Bill Clinton,1992-03-10,50.79,148,TRUE,TRUE,primary
Hawaii,Bill Clinton,1992-03-10,51.49,14,TRUE,TRUE,caucus
Louisiana,Bill Clinton,1992-03-10,69.46,60,TRUE,TRUE,primary
Massachusetts,Bill Clinton,1992-03-10,10.95,94,FALSE,TRUE,primary
Mississippi,Bill Clinton,1992-03-10,73.11,39,TRUE,TRUE,primary
Missouri,Bill Clinton,1992-03-10,45.1,77,TRUE,TRUE,primary
Oklahoma,Bill Clinton,1992-03-10,70.47,45,TRUE,TRUE,primary
Texas,Bill Clinton,1992-03-10,65.56,0,TRUE,TRUE,primary
Illinois,Bill Clinton,1992-03-17,51.65,164,TRUE,TRUE,primary
Michigan,Bill Clinton,1992-03-17,50.73,131,TRUE,TRUE,primary
Democrats Abroad[8],Bill Clinton,1992-03-19,27,0,FALSE,TRUE,caucus
North Dakota,Bill Clinton,1992-03-19,37,14,TRUE,TRUE,caucus
Connecticut,Bill Clinton,1992-03-24,35.64,53,FALSE,TRUE,primary
Vermont,Bill Clinton,1992-03-31,17.2,14,FALSE,TRUE,caucus
Alaska,Bill Clinton,1992-04-02,30.91,13,FALSE,TRUE,caucus
Puerto Rico,Bill Clinton,1992-04-05,95.86,51,TRUE,TRUE,primary
Kansas,Bill Clinton,1992-04-07,51.26,36,TRUE,TRUE,primary
Minnesota,Bill Clinton,1992-04-07,31.14,78,TRUE,TRUE,primary
New York,Bill Clinton,1992-04-07,NA,244,NA,TRUE,primary
