date,state,candidate,vote_perc,is_nominee,won,event_type
2004-01-14,District of Columbia,Carol Moseley Braun,12,FALSE,FALSE,primary
2004-01-19,Iowa,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-01-27,New Hampshire,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-02-03,Arizona,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-02-03,Delaware,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-02-03,Missouri,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-02-03,New Mexico,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-02-03,North Dakota,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-02-03,Oklahoma,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-02-03,South Carolina,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-02-07,Michigan,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-02-07,Washington,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-02-08,Maine,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-02-10,Tennessee,Carol Moseley Braun,1,FALSE,FALSE,primary
2004-02-10,Virginia,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-02-14,District of Columbia,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-02-14,Nevada,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-02-17,Wisconsin,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-02-24,Hawaii,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-02-24,Idaho,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-02-24,Utah,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-03-02,California,Carol Moseley Braun,1,FALSE,FALSE,primary
2004-03-02,Connecticut,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-03-02,Georgia,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-03-02,Maryland,Carol Moseley Braun,1,FALSE,FALSE,primary
2004-03-02,Massachusetts,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-03-02,Minnesota,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-03-02,New York,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-03-02,Ohio,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-03-02,Rhode Island,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-03-02,Vermont[47],Carol Moseley Braun,0,FALSE,FALSE,primary
2004-03-09,American Samoa,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-03-09,Florida,Carol Moseley Braun,1,FALSE,FALSE,primary
2004-03-09,Louisiana,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-03-09,Mississippi,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-03-09,Texas,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-03-13,Kansas,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-03-16,Illinois,Carol Moseley Braun,4,FALSE,FALSE,primary
2004-03-20,Alaska,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-03-20,Wyoming,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-03-27,Expatriates,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-04-13,Colorado,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-04-17,North Carolina,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-04-17,Virgin Islands,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-04-24,Guam,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-04-27,Pennsylvania,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-05-04,Indiana,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-05-11,Nebraska,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-05-11,West Virginia,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-05-18,Arkansas,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-05-18,Kentucky,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-05-18,Oregon,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-06-01,Alabama,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-06-01,South Dakota,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-06-06,Puerto Rico,Carol Moseley Braun,0,FALSE,FALSE,caucus
2004-06-08,Montana,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-06-08,New Jersey,Carol Moseley Braun,0,FALSE,FALSE,primary
2004-01-14,District of Columbia,Wesley Clark,0,FALSE,FALSE,primary
2004-01-19,Iowa,Wesley Clark,0,FALSE,FALSE,caucus
2004-01-27,New Hampshire,Wesley Clark,12,FALSE,FALSE,primary
2004-02-03,Arizona,Wesley Clark,27,FALSE,FALSE,primary
2004-02-03,Delaware,Wesley Clark,9,FALSE,FALSE,primary
2004-02-03,Missouri,Wesley Clark,4,FALSE,FALSE,primary
2004-02-03,New Mexico,Wesley Clark,21,FALSE,FALSE,caucus
2004-02-03,North Dakota,Wesley Clark,24,FALSE,FALSE,caucus
2004-02-03,Oklahoma,Wesley Clark,30,FALSE,TRUE,primary
2004-02-03,South Carolina,Wesley Clark,7,FALSE,FALSE,primary
2004-02-07,Michigan,Wesley Clark,7,FALSE,FALSE,caucus
2004-02-07,Washington,Wesley Clark,3,FALSE,FALSE,caucus
2004-02-08,Maine,Wesley Clark,4,FALSE,FALSE,caucus
2004-02-10,Tennessee,Wesley Clark,23,FALSE,FALSE,primary
2004-02-10,Virginia,Wesley Clark,9,FALSE,FALSE,primary
2004-02-14,District of Columbia,Wesley Clark,1,FALSE,FALSE,caucus
2004-02-14,Nevada,Wesley Clark,0,FALSE,FALSE,caucus
2004-02-17,Wisconsin,Wesley Clark,2,FALSE,FALSE,primary
2004-02-24,Hawaii,Wesley Clark,1,FALSE,FALSE,caucus
2004-02-24,Idaho,Wesley Clark,0,FALSE,FALSE,caucus
2004-02-24,Utah,Wesley Clark,1,FALSE,FALSE,primary
2004-03-02,California,Wesley Clark,2,FALSE,FALSE,primary
2004-03-02,Connecticut,Wesley Clark,1,FALSE,FALSE,primary
2004-03-02,Georgia,Wesley Clark,1,FALSE,FALSE,primary
2004-03-02,Maryland,Wesley Clark,1,FALSE,FALSE,primary
2004-03-02,Massachusetts,Wesley Clark,1,FALSE,FALSE,primary
2004-03-02,Minnesota,Wesley Clark,0,FALSE,FALSE,caucus
2004-03-02,New York,Wesley Clark,1,FALSE,FALSE,primary
2004-03-02,Ohio,Wesley Clark,1,FALSE,FALSE,primary
2004-03-02,Rhode Island,Wesley Clark,1,FALSE,FALSE,primary
2004-03-02,Vermont[47],Wesley Clark,3,FALSE,FALSE,primary
2004-03-09,American Samoa,Wesley Clark,0,FALSE,FALSE,caucus
2004-03-09,Florida,Wesley Clark,1,FALSE,FALSE,primary
2004-03-09,Louisiana,Wesley Clark,4,FALSE,FALSE,primary
2004-03-09,Mississippi,Wesley Clark,2,FALSE,FALSE,primary
2004-03-09,Texas,Wesley Clark,2,FALSE,FALSE,primary
2004-03-13,Kansas,Wesley Clark,1,FALSE,FALSE,caucus
2004-03-16,Illinois,Wesley Clark,2,FALSE,FALSE,primary
2004-03-20,Alaska,Wesley Clark,0,FALSE,FALSE,caucus
2004-03-20,Wyoming,Wesley Clark,0,FALSE,FALSE,caucus
2004-03-27,Expatriates,Wesley Clark,10,FALSE,FALSE,caucus
2004-04-13,Colorado,Wesley Clark,0,FALSE,FALSE,caucus
2004-04-17,North Carolina,Wesley Clark,0,FALSE,FALSE,caucus
2004-04-17,Virgin Islands,Wesley Clark,0,FALSE,FALSE,caucus
2004-04-24,Guam,Wesley Clark,0,FALSE,FALSE,caucus
2004-04-27,Pennsylvania,Wesley Clark,0,FALSE,FALSE,primary
2004-05-04,Indiana,Wesley Clark,6,FALSE,FALSE,primary
2004-05-11,Nebraska,Wesley Clark,0,FALSE,FALSE,primary
2004-05-11,West Virginia,Wesley Clark,3,FALSE,FALSE,primary
2004-05-18,Arkansas,Wesley Clark,0,FALSE,FALSE,primary
2004-05-18,Kentucky,Wesley Clark,3,FALSE,FALSE,primary
2004-05-18,Oregon,Wesley Clark,0,FALSE,FALSE,primary
2004-06-01,Alabama,Wesley Clark,0,FALSE,FALSE,primary
2004-06-01,South Dakota,Wesley Clark,0,FALSE,FALSE,primary
2004-06-06,Puerto Rico,Wesley Clark,0,FALSE,FALSE,caucus
2004-06-08,Montana,Wesley Clark,4,FALSE,FALSE,primary
2004-06-08,New Jersey,Wesley Clark,0,FALSE,FALSE,primary
2004-01-14,District of Columbia,Howard Dean,43,FALSE,TRUE,primary
2004-01-19,Iowa,Howard Dean,18,FALSE,FALSE,caucus
2004-01-27,New Hampshire,Howard Dean,26,FALSE,FALSE,primary
2004-02-03,Arizona,Howard Dean,14,FALSE,FALSE,primary
2004-02-03,Delaware,Howard Dean,10,FALSE,FALSE,primary
2004-02-03,Missouri,Howard Dean,9,FALSE,FALSE,primary
2004-02-03,New Mexico,Howard Dean,16,FALSE,FALSE,caucus
2004-02-03,North Dakota,Howard Dean,12,FALSE,FALSE,caucus
2004-02-03,Oklahoma,Howard Dean,4,FALSE,FALSE,primary
2004-02-03,South Carolina,Howard Dean,5,FALSE,FALSE,primary
2004-02-07,Michigan,Howard Dean,17,FALSE,FALSE,caucus
2004-02-07,Washington,Howard Dean,30,FALSE,FALSE,caucus
2004-02-08,Maine,Howard Dean,27,FALSE,FALSE,caucus
2004-02-10,Tennessee,Howard Dean,4,FALSE,FALSE,primary
2004-02-10,Virginia,Howard Dean,7,FALSE,FALSE,primary
2004-02-14,District of Columbia,Howard Dean,17,FALSE,FALSE,caucus
2004-02-14,Nevada,Howard Dean,17,FALSE,FALSE,caucus
2004-02-17,Wisconsin,Howard Dean,18,FALSE,FALSE,primary
2004-02-24,Hawaii,Howard Dean,7,FALSE,FALSE,caucus
2004-02-24,Idaho,Howard Dean,11,FALSE,FALSE,caucus
2004-02-24,Utah,Howard Dean,4,FALSE,FALSE,primary
2004-03-02,California,Howard Dean,4,FALSE,FALSE,primary
2004-03-02,Connecticut,Howard Dean,4,FALSE,FALSE,primary
2004-03-02,Georgia,Howard Dean,2,FALSE,FALSE,primary
2004-03-02,Maryland,Howard Dean,3,FALSE,FALSE,primary
2004-03-02,Massachusetts,Howard Dean,3,FALSE,FALSE,primary
2004-03-02,Minnesota,Howard Dean,2,FALSE,FALSE,caucus
2004-03-02,New York,Howard Dean,0,FALSE,FALSE,primary
2004-03-02,Ohio,Howard Dean,3,FALSE,FALSE,primary
2004-03-02,Rhode Island,Howard Dean,4,FALSE,FALSE,primary
2004-03-02,Vermont[47],Howard Dean,53,FALSE,TRUE,primary
2004-03-09,American Samoa,Howard Dean,0,FALSE,FALSE,caucus
2004-03-09,Florida,Howard Dean,3,FALSE,FALSE,primary
2004-03-09,Louisiana,Howard Dean,5,FALSE,FALSE,primary
2004-03-09,Mississippi,Howard Dean,3,FALSE,FALSE,primary
2004-03-09,Texas,Howard Dean,5,FALSE,FALSE,primary
2004-03-13,Kansas,Howard Dean,7,FALSE,FALSE,caucus
2004-03-16,Illinois,Howard Dean,4,FALSE,FALSE,primary
2004-03-20,Alaska,Howard Dean,11,FALSE,FALSE,caucus
2004-03-20,Wyoming,Howard Dean,3,FALSE,FALSE,caucus
2004-03-27,Expatriates,Howard Dean,19,FALSE,FALSE,caucus
2004-04-13,Colorado,Howard Dean,2,FALSE,FALSE,caucus
2004-04-17,North Carolina,Howard Dean,6,FALSE,FALSE,caucus
2004-04-17,Virgin Islands,Howard Dean,0,FALSE,FALSE,caucus
2004-04-24,Guam,Howard Dean,0,FALSE,FALSE,caucus
2004-04-27,Pennsylvania,Howard Dean,10,FALSE,FALSE,primary
2004-05-04,Indiana,Howard Dean,7,FALSE,FALSE,primary
2004-05-11,Nebraska,Howard Dean,7,FALSE,FALSE,primary
2004-05-11,West Virginia,Howard Dean,4,FALSE,FALSE,primary
2004-05-18,Arkansas,Howard Dean,0,FALSE,FALSE,primary
2004-05-18,Kentucky,Howard Dean,4,FALSE,FALSE,primary
2004-05-18,Oregon,Howard Dean,0,FALSE,FALSE,primary
2004-06-01,Alabama,Howard Dean,0,FALSE,FALSE,primary
2004-06-01,South Dakota,Howard Dean,6,FALSE,FALSE,primary
2004-06-06,Puerto Rico,Howard Dean,0,FALSE,FALSE,caucus
2004-06-08,Montana,Howard Dean,0,FALSE,FALSE,primary
2004-06-08,New Jersey,Howard Dean,0,FALSE,FALSE,primary
2004-01-14,District of Columbia,John Edwards,0,FALSE,FALSE,primary
2004-01-19,Iowa,John Edwards,32,FALSE,FALSE,caucus
2004-01-27,New Hampshire,John Edwards,12,FALSE,FALSE,primary
2004-02-03,Arizona,John Edwards,7,FALSE,FALSE,primary
2004-02-03,Delaware,John Edwards,11,FALSE,FALSE,primary
2004-02-03,Missouri,John Edwards,25,FALSE,FALSE,primary
2004-02-03,New Mexico,John Edwards,11,FALSE,FALSE,caucus
2004-02-03,North Dakota,John Edwards,10,FALSE,FALSE,caucus
2004-02-03,Oklahoma,John Edwards,30,FALSE,TRUE,primary
2004-02-03,South Carolina,John Edwards,45,FALSE,TRUE,primary
2004-02-07,Michigan,John Edwards,13,FALSE,FALSE,caucus
2004-02-07,Washington,John Edwards,7,FALSE,FALSE,caucus
2004-02-08,Maine,John Edwards,8,FALSE,FALSE,caucus
2004-02-10,Tennessee,John Edwards,26,FALSE,FALSE,primary
2004-02-10,Virginia,John Edwards,27,FALSE,FALSE,primary
2004-02-14,District of Columbia,John Edwards,10,FALSE,FALSE,caucus
2004-02-14,Nevada,John Edwards,10,FALSE,FALSE,caucus
