date,state,candidate,vote_perc,is_nominee,won_state,event_type
2008-01-03,Iowa,Hillary Clinton,29,FALSE,FALSE,caucus
2008-01-08,New Hampshire,Hillary Clinton,39,FALSE,FALSE,primary
2008-01-15,Michigan,Hillary Clinton,55,FALSE,TRUE,primary
2008-01-19,Nevada,Hillary Clinton,51,FALSE,TRUE,caucus
2008-01-26,South Carolina,Hillary Clinton,27,FALSE,FALSE,primary
2008-01-29,Florida,Hillary Clinton,50,FALSE,FALSE,primary
2008-02-05,Alabama,Hillary Clinton,42,FALSE,FALSE,primary
2008-02-05,Alaska,Hillary Clinton,25,FALSE,FALSE,caucus
2008-02-05,American Samoa,Hillary Clinton,57,FALSE,FALSE,caucus
2008-02-05,Arizona,Hillary Clinton,50,FALSE,FALSE,primary
2008-02-05,Arkansas,Hillary Clinton,70,FALSE,TRUE,primary
2008-02-05,California,Hillary Clinton,51,FALSE,FALSE,primary
2008-02-05,Colorado,Hillary Clinton,32,FALSE,FALSE,caucus
2008-02-05,Connecticut,Hillary Clinton,47,FALSE,FALSE,primary
2008-02-05,Delaware,Hillary Clinton,42,FALSE,FALSE,primary
2008-02-05,Georgia,Hillary Clinton,31,FALSE,FALSE,primary
2008-02-05,Idaho county,Hillary Clinton,17,FALSE,FALSE,caucus
2008-02-05,Illinois,Hillary Clinton,33,FALSE,FALSE,primary
2008-02-05,Kansas local unit conventions,Hillary Clinton,26,FALSE,FALSE,primary
2008-02-05,Massachusetts,Hillary Clinton,56,FALSE,FALSE,primary
2008-02-05,Minnesota,Hillary Clinton,32,FALSE,FALSE,caucus
2008-02-05,Missouri,Hillary Clinton,48,FALSE,FALSE,primary
2008-02-05,New Jersey,Hillary Clinton,54,FALSE,FALSE,primary
2008-02-05,New Mexico,Hillary Clinton,49,FALSE,TRUE,caucus
2008-02-05,New York,Hillary Clinton,57,FALSE,TRUE,primary
2008-02-05,North Dakota,Hillary Clinton,37,FALSE,FALSE,caucus
2008-02-05,Oklahoma,Hillary Clinton,55,FALSE,FALSE,primary
2008-02-05,Tennessee,Hillary Clinton,54,FALSE,FALSE,primary
2008-02-05,Utah,Hillary Clinton,39,FALSE,FALSE,primary
2008-02-09,Louisiana,Hillary Clinton,36,FALSE,FALSE,primary
2008-02-09,Nebraska,Hillary Clinton,32,FALSE,TRUE,caucus
2008-02-09,U.S. Virgin Islands territorial convention,Hillary Clinton,7,FALSE,FALSE,primary
2008-02-09,Washington,Hillary Clinton,31,FALSE,FALSE,caucus
2008-02-10,Maine municipal,Hillary Clinton,40,FALSE,TRUE,caucus
NA,Democrats Abroad,Hillary Clinton,32,FALSE,FALSE,primary
2008-02-12,District of Columbia,Hillary Clinton,24,FALSE,FALSE,primary
2008-02-12,Maryland,Hillary Clinton,36,FALSE,FALSE,primary
2008-02-12,Virginia,Hillary Clinton,35,FALSE,FALSE,primary
2008-02-19,Hawaii,Hillary Clinton,24,FALSE,FALSE,caucus
2008-02-19,Wisconsin,Hillary Clinton,41,FALSE,FALSE,primary
2008-03-04,Ohio,Hillary Clinton,53,FALSE,TRUE,primary
2008-03-04,Rhode Island,Hillary Clinton,58,FALSE,TRUE,primary
2008-03-04,Texas,Hillary Clinton,51,FALSE,TRUE,primary
2008-03-04,Texas conventions,Hillary Clinton,44,FALSE,TRUE,primary
2008-03-04,Vermont,Hillary Clinton,39,FALSE,FALSE,primary
2008-03-08,Wyoming county,Hillary Clinton,38,FALSE,TRUE,caucus
2008-03-11,Mississippi,Hillary Clinton,37,FALSE,FALSE,primary
2008-03-15,Iowa county conventions,Hillary Clinton,50,FALSE,FALSE,primary
NA,Colorado county assemblies/conventions,Hillary Clinton,51,FALSE,TRUE,primary
2008-03-29,Texas county and senatorial district conventions,Hillary Clinton,42,FALSE,TRUE,primary
NA,North Dakota state convention,Hillary Clinton,67,FALSE,TRUE,primary
NA,Nevada county conventions,Hillary Clinton,66,FALSE,TRUE,primary
2008-04-22,Pennsylvania,Hillary Clinton,41,FALSE,TRUE,primary
2008-04-26,Iowa district conventions,Hillary Clinton,41,FALSE,FALSE,primary
2008-05-03,Guam territorial convention,Hillary Clinton,55,FALSE,TRUE,primary
2008-05-06,Indiana,Hillary Clinton,38,FALSE,TRUE,primary
2008-05-06,North Carolina,Hillary Clinton,36,FALSE,TRUE,primary
2008-05-13,West Virginia,Hillary Clinton,45,FALSE,TRUE,primary
NA,Colorado,Hillary Clinton,55,FALSE,TRUE,primary
2008-05-17,Colorado state convention,Hillary Clinton,33,FALSE,TRUE,primary
2008-05-17,Kansas state convention,Hillary Clinton,0,FALSE,TRUE,primary
2008-05-17,Nevada state convention,Hillary Clinton,75,FALSE,TRUE,primary
2008-05-17,Washington congressional district,Hillary Clinton,42,FALSE,TRUE,caucus
2008-05-20,Kentucky,Hillary Clinton,42,FALSE,TRUE,primary
2008-05-20,Oregon,Hillary Clinton,26,FALSE,TRUE,primary
2008-05-24,Alaska state convention,Hillary Clinton,43,FALSE,TRUE,primary
2008-05-24,Wyoming state convention,Hillary Clinton,67,FALSE,TRUE,primary
2008-05-31,"Maine state convention,",Hillary Clinton,51,FALSE,TRUE,caucus
2008-06-01,Puerto Rico,Hillary Clinton,53,FALSE,TRUE,primary
2008-06-03,Montana,Hillary Clinton,66,FALSE,TRUE,primary
2008-06-03,South Dakota,Hillary Clinton,80,FALSE,TRUE,primary
NA,Texas state convention (see 3/29),Hillary Clinton,65,FALSE,TRUE,primary
2008-06-14,Iowa state convention,Hillary Clinton,0,FALSE,TRUE,primary
2008-06-21,Puerto Rico commonwealth convention,Hillary Clinton,0,FALSE,TRUE,primary
NA,Nebraska state convention,Hillary Clinton,0,FALSE,TRUE,caucus
2008-01-03,Iowa,Barack Obama,40,TRUE,TRUE,caucus
2008-01-08,New Hampshire,Barack Obama,61,TRUE,TRUE,primary
2008-01-15,Michigan,Barack Obama,31,TRUE,FALSE,primary
2008-01-19,Nevada,Barack Obama,40,TRUE,FALSE,caucus
2008-01-26,South Carolina,Barack Obama,57,TRUE,TRUE,primary
2008-01-29,Florida,Barack Obama,57,TRUE,TRUE,primary
2008-02-05,Alabama,Barack Obama,68,TRUE,TRUE,primary
2008-02-05,Alaska,Barack Obama,90,TRUE,TRUE,caucus
